,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742),0.613794947081577,2.0008197326043438,0.0,0.04362789663485255,0.043,14/23,18.70%,CDH4;CDH20;GRID2;TENM3;TENM4;CDH8;PTPRD;SDK1;TENM2;CDHR3;CADM1;ADGRL3;CDH2;CLDN16
1,prerank,heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules (GO:0007157),0.7844618347682051,1.9308343512139592,0.0,0.07067719254846114,0.128,6/7,16.50%,GRID2;TENM3;TENM4;PTPRD;TENM2;CADM1
2,prerank,regulation of TOR signaling (GO:0032006),-0.647887323943662,-1.9060742429783675,0.005434782608695652,1.0,0.536,6/6,35.70%,GAS6;UBR2;RICTOR;WDR59;SLC38A9;MIOS
3,prerank,regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032434),-0.6028225806451613,-1.8928382500606507,0.0,0.6855639147178362,0.59,8/8,40.30%,ANKIB1;WAC;PRICKLE1;FHIT;MDM2;CSNK1E;FBXO22;XPO1
4,prerank,translation (GO:0006412),-0.9077231695085256,-1.8676548612099622,0.0,0.5629180861785711,0.663,3/3,9.60%,PPA2;AGO2;MRPS21
5,prerank,chemical synaptic transmission (GO:0007268),0.5463615388213624,1.867435892914374,0.0,0.12215811057758716,0.288,20/29,32.30%,GRID2;CACNB2;DLGAP2;CACNA1A;CHRM3;ASIC2;RIMBP2;PTPRN2;GRIK3;CDH8;GRID1;HCRTR1;HCRTR2;RIT2;DLG2;LIN7A;HTR7;KCNMB1;PRKAR2B;NOVA1
6,prerank,"synaptic transmission, glutamatergic (GO:0035249)",0.889558232931727,1.8620470048605084,0.0,0.10339811502460054,0.319,4/4,11.40%,GRID2;GRIK3;CDH8;GRID1
7,prerank,adherens junction organization (GO:0034332),0.7451682234655972,1.8270761354107534,0.0035335689045936395,0.1301856435584,0.437,6/7,18.10%,CDH4;CDH20;CDH8;CDHR3;CADM1;CDH2
8,prerank,negative regulation of DNA-binding transcription factor activity (GO:0043433),-0.699497487437186,-1.8092902031048848,0.004629629629629629,0.6594991504977947,0.812,5/5,30.50%,GAS6;MAP2K5;BTRC;FZD6;CD200
9,prerank,histone ubiquitination (GO:0016574),-0.8986960882647944,-1.796817533646762,0.006369426751592357,0.5814260892991587,0.835,3/3,10.50%,UBR2;WAC;USP22
10,prerank,cellular protein catabolic process (GO:0044257),-0.7700803212851405,-1.7856773288314676,0.020491803278688523,0.5307917488841013,0.852,4/4,23.40%,AP2A2;YME1L1;MDM2;CAPN2
11,prerank,proteolysis involved in cellular protein catabolic process (GO:0051603),-0.7700803212851405,-1.7758721834873767,0.012605042016806723,0.4842330947457547,0.878,4/4,23.40%,YME1L1;ATE1;MDM2;CAPN2
12,prerank,regulation of trans-synaptic signaling (GO:0099177),0.7084397723851035,1.775697770450779,0.006009615384615385,0.2251199466358392,0.667,5/7,20.10%,GRID2;CACNA1A;GRIK3;GRID1;LRP8
13,prerank,positive regulation of synaptic transmission (GO:0050806),0.8167025309913352,1.7756858096282706,0.002509410288582183,0.19308460539253317,0.667,4/5,13.40%,SHANK2;ADCY8;SLC24A2;CACNG4
14,prerank,positive regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032436),-0.7045226130653267,-1.7755337175027368,0.02564102564102564,0.37702984522943783,0.879,5/5,30.00%,ANKIB1;PRICKLE1;MDM2;CSNK1E;FBXO22
15,prerank,positive regulation of proteasomal protein catabolic process (GO:1901800),-0.7045226130653267,-1.7755337175027368,0.02564102564102564,0.37702984522943783,0.879,5/5,30.00%,ANKIB1;PRICKLE1;MDM2;CSNK1E;FBXO22
16,prerank,glycerophospholipid biosynthetic process (GO:0046474),-0.4249492900608519,-1.7499784906395675,0.05172413793103448,0.41048972860028177,0.925,14/14,58.20%,PIP4K2A;CSNK2A1;MTMR2;PLD1;FAR1;PLA2G4A;MTMR1;PTEN;LPCAT1;SLC44A2;LPIN1;DDHD2;INPP5F;CHKA
17,prerank,positive regulation of macroautophagy (GO:0016239),-0.663316582914573,-1.7491967108103759,0.028925619834710745,0.3763685827122274,0.928,5/5,34.10%,PIP4K2A;WAC;RAB3GAP2;OPTN;SESN3
18,prerank,cell-cell junction organization (GO:0045216),0.6455370648373513,1.7454479694802723,0.004429678848283499,0.25598668350499737,0.783,7/10,18.10%,CDH4;CDH20;CDH8;SDK1;CDHR3;CADM1;CDH2
19,prerank,regulation of dendrite development (GO:0050773),0.7041097718782962,1.739428679032293,0.006045949214026602,0.24635218966480077,0.815,6/7,25.70%,DCC;ALK;HECW2;CAMK1D;LRP8;BCL11A
